ID,Type,SKU,Name,Published,Is featured?,Short description,Description,In stock?,Stock,Low stock amount,Sale price,Regular price,Categories,Tags,Images,Brands,Meta: _headstart_post,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: post_views_count
1269,grouped,SKU52973,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,26,14,570.55,640.04,Automotive,USB,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Spalding,1,Size,"12"", M",1,1,,,,,776
1270,simple,SKU14937,Smart Speaker Plus,1,0,,High-quality smart speaker plus designed for optimal performance and durability.,1,165,19,,607.66,Office Supplies,"Eco-Friendly, USB, Modern",https://picsum.photos/600/600,ACEX,1,Color,"Pink, Gray, Black, Red",1,0,User Group,"Unisex, Men",1,0,658
1271,simple,SKU50035,Premium Camera System,1,1,,High-quality premium camera system designed for optimal performance and durability.,1,56,19,314.73,451.12,Accessories,,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,Nike,1,,,,,,,,,626
1272,simple,SKU19596,Hi-Fi Headphones,1,1,,High-quality hi-fi headphones designed for optimal performance and durability.,1,7,6,,807.64,Headphone,Stereo,https://images.unsplash.com/photo-1572635196237-14b3f281503f,Apple,1,Capacity,"1.5L, 1L, 2L, 500ml",1,1,Material,"Plastic, Leather",1,0,330
1273,simple,SKU94241,Premium Speaker System,1,1,,High-quality premium speaker system designed for optimal performance and durability.,1,102,15,675.19,764.44,Office Supplies,"Modern, Luxury",https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,Spalding,1,Capacity,"1.5L, 500ml, 330 ml",1,1,Size,"L, XXL, 16"", XL",1,0,66
1274,external,SKU63204,Premium Smartwatch System,1,1,,High-quality premium smartwatch system designed for optimal performance and durability.,1,5,10,126.58,199.7,Accessories,"7.1 D, Bass",https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Yamaha,1,,,,,,,,,187
1275,simple,SKU69011,Smart Headphones Plus,1,0,,High-quality smart headphones plus designed for optimal performance and durability.,1,27,13,1131.08,1729.94,Accessories,"Bluetooth, Stereo, Hi-Fi",https://picsum.photos/600/600,Brothers,1,User Group,"Unisex, Men, Adult",1,0,Size,"XXL, XL",1,0,804
1276,simple,SKU37478,Wireless Headphones,1,0,,High-quality wireless headphones designed for optimal performance and durability.,1,16,20,307.62,509.83,Headphone,Bass,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Casio,1,,,,,,,,,856
1277,variable,SKU81913,Premium Pot Collection,1,0,,High-quality premium pot collection designed for optimal performance and durability.,1,191,7,,493.77,Kitchen,,https://picsum.photos/700/700,Canon,1,,,,,,,,,690
1278,external,,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,28,15,698.02,1034.2,Rocking Chair,"Modern, Wireless, Premium",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,FlexiMat,1,User Group,"Kids, Men, Unisex",1,1,,,,,173
1279,simple,SKU35449,Professional Yoga Mat Gear,1,0,,High-quality professional yoga mat gear designed for optimal performance and durability.,1,163,5,,1772.74,Sports & Fitness,,https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,Boutique,1,Material,"Leather, Glass, Plastic, Wood, Metal",1,1,User Group,"Women, Unisex",1,1,46
1280,simple,SKU28888,Wireless Headphones Pro,1,0,,High-quality wireless headphones pro designed for optimal performance and durability.,1,155,5,,710.54,Accessories,"Vintage, Premium, Hi-Fi",https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Spalding,1,Material,"Cotton, Silk, Rubber, Plastic, Wood",1,1,Color,"Blue, Brown",1,1,474
1281,variable,SKU67374,Smart Tablet Plus,1,1,,High-quality smart tablet plus designed for optimal performance and durability.,1,155,14,1111.53,1343.27,Pet Supplies,"Premium, USB, Eco-Friendly",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,HydroFlask,1,User Group,"Adult, Unisex, Men, Kids, Boys & Girls",1,0,Material,"Silk, Cotton, Leather",1,0,552
1282,simple,SKU40812,15-Speed Bike,1,0,,High-quality 15-speed bike designed for optimal performance and durability.,1,155,12,1042.17,1712.92,Bicycle,"7.1 D, Professional, Stereo",https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,HP,1,Size,"XL, XXXL, 26"", 28""",1,0,,,,,44
1283,variable,SKU97401,Smart Headphones Plus,1,1,,High-quality smart headphones plus designed for optimal performance and durability.,1,75,19,1427.03,1882.96,Pet Supplies,"Wireless, Bass, Premium",https://images.unsplash.com/photo-1585386959984-a4155224a1ad,BambooTech,1,Color,"Black, Green, Gray, Pink",1,0,,,,,935
1284,simple,SKU40464,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,159,17,1180.62,1743.22,Accessories,,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Philips,1,Size,"16"", 24"", 12"", 26"", 28""",1,1,,,,,913
1285,simple,SKU78298,Wireless Tablet Pro,1,0,,High-quality wireless tablet pro designed for optimal performance and durability.,1,131,9,,283.69,Automotive,"Wireless, USB, Professional",https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,FitTech,1,,,,,,,,,245
1286,simple,,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,41,13,710.94,973.67,Books,"Wireless, Stereo, USB",https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,FitTech,1,,,,,,,,,342
1287,simple,SKU47784,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,7,20,680.8,762.78,Electronics,Hi-Fi,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Casio,1,,,,,,,,,604
1288,simple,SKU58000,Modern Lamp Collection,1,1,,High-quality modern lamp collection designed for optimal performance and durability.,1,131,8,1367.21,1765.13,Home & Garden,"Stereo, 7.1 D",https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,ACEX,1,Color,"Green, Yellow",1,0,,,,,191
1289,simple,SKU82386,Premium Hoodie Collection,1,1,,High-quality premium hoodie collection designed for optimal performance and durability.,1,101,15,1100.89,1439.98,Clothing,"Stereo, Premium",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Spalding,1,Capacity,"1L, 2L",1,1,,,,,665
1290,simple,,Sports Yoga Mat Premium,1,1,,High-quality sports yoga mat premium designed for optimal performance and durability.,1,129,15,1536.29,1904.17,Sports & Fitness,"Wireless, Modern",https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Apple,1,Capacity,"2L, 1L",1,1,Material,"Ceramic, Glass, Wood, Plastic",1,0,400
1291,simple,SKU37928,Wireless Speaker Pro,1,1,,High-quality wireless speaker pro designed for optimal performance and durability.,1,198,12,244.01,337.92,Office Supplies,"7.1 D, Eco-Friendly, Vintage",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,SoundMax,1,User Group,"Boys & Girls, Men",1,0,Material,"Metal, Plastic, Glass",1,0,234
1292,variable,SKU38577,Modern Rocking Chair,1,0,,High-quality modern rocking chair designed for optimal performance and durability.,1,99,10,246.71,306.81,Rocking Chair,,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Philips,1,Material,"Leather, Rubber, Plastic, Silk, Glass",1,1,,,,,612
1293,simple,SKU86696,21-Speed Bike,1,0,,High-quality 21-speed bike designed for optimal performance and durability.,1,116,13,,1212.6,Bicycle,,https://images.pexels.com/photos/19090/pexels-photo.jpg,Nikon,1,,,,,,,,,665
1294,simple,SKU79908,Digital Tablet HD,1,0,,High-quality digital tablet hd designed for optimal performance and durability.,1,191,11,,726.26,Toys & Games,,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,KeyTech,1,,,,,,,,,194
1295,simple,SKU48191,19-Speed Bike,1,0,,High-quality 19-speed bike designed for optimal performance and durability.,1,77,16,330.6,496.35,Bicycle,"Eco-Friendly, Bass",https://images.unsplash.com/photo-1572635196237-14b3f281503f,Adidas,1,,,,,,,,,80
1296,simple,SKU10686,Vintage Mirror Style,1,0,,High-quality vintage mirror style designed for optimal performance and durability.,1,189,10,,615.93,Home & Garden,USB,https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg,Canon,1,User Group,"Adult, Kids, Unisex, Boys & Girls",1,1,Size,"24"", XL, 16""",1,1,510
1297,simple,SKU12739,6-Speed Bike,1,0,,High-quality 6-speed bike designed for optimal performance and durability.,1,174,9,,938.78,Bicycle,"Wireless, 7.1 D",https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,Hatil,1,,,,,,,,,523
1298,simple,SKU28239,Premium Charger System,1,0,,High-quality premium charger system designed for optimal performance and durability.,1,185,16,1039.66,1575.17,Toys & Games,"7.1 D, Modern, Professional",https://picsum.photos/700/700,FlexiMat,1,Capacity,"1L, 330 ml, 2L",1,0,User Group,"Boys & Girls, Adult",1,0,410
1299,simple,SKU80687,Wireless Smartwatch Pro,1,0,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,186,20,126.25,164.87,Accessories,"Hi-Fi, Modern",https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg,HydroFlask,1,,,,,,,,,854
1300,variable,SKU39504,21-Speed Bike,1,1,,High-quality 21-speed bike designed for optimal performance and durability.,1,121,11,1288.95,1616.03,Bicycle,Hi-Fi,https://images.unsplash.com/photo-1584917865442-de89df76afd3,Samsung,1,,,,,,,,,226
1301,simple,SKU40167,Wireless Headphones Pro,1,0,,High-quality wireless headphones pro designed for optimal performance and durability.,1,160,6,762.45,925.56,Accessories,"Wireless, Luxury",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,KeyTech,1,Material,"Glass, Ceramic, Rubber, Silk, Leather",1,1,,,,,67
1302,simple,SKU88922,Vintage Rug Style,1,1,,High-quality vintage rug style designed for optimal performance and durability.,1,165,18,,1359.42,Home & Garden,"Wireless, Vintage, Bass",https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,Wilson,1,Size,"S, M, 24"", 16"", XL",1,1,,,,,823
1303,simple,,Wireless Charger Pro,1,1,,High-quality wireless charger pro designed for optimal performance and durability.,1,105,11,460.23,669.36,Pet Supplies,,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,Spalding,1,,,,,,,,,172
1304,simple,SKU59077,Wireless Headphones,1,0,,High-quality wireless headphones designed for optimal performance and durability.,1,175,9,1244.68,1687.46,Headphone,"Hi-Fi, Vintage",https://images.unsplash.com/photo-1542291026-7eec264c27ff,Bose,1,,,,,,,,,545
1305,simple,SKU43062,Fitness Dumbbell Elite,1,0,,High-quality fitness dumbbell elite designed for optimal performance and durability.,1,171,13,1125.44,1652.54,Sports & Fitness,,https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Wilson,1,,,,,,,,,36
1306,simple,SKU67879,Premium Camera System,1,0,,High-quality premium camera system designed for optimal performance and durability.,1,41,15,535.48,656.09,Books,,https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,Adidas,1,,,,,,,,,61
1307,simple,SKU62035,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,176,5,180.75,213.97,Rocking Chair,"Vintage, Wireless",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Nike,1,,,,,,,,,117
1308,variable,SKU31067,Smart Tablet Plus,1,0,,High-quality smart tablet plus designed for optimal performance and durability.,1,103,12,1186.66,1926.84,Accessories,,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,Samsung,1,,,,,,,,,238
1309,simple,SKU93791,Premium Camera System,1,1,,High-quality premium camera system designed for optimal performance and durability.,1,108,20,1564.59,1996.05,Accessories,"7.1 D, Premium",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,KeyTech,1,Size,"XXL, S, XL, 12"", 16""",1,1,Color,"Brown, Purple",1,0,164
1310,simple,SKU43676,9-Speed Bike,1,0,,High-quality 9-speed bike designed for optimal performance and durability.,1,200,14,246.9,283.29,Bicycle,Premium,https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,ACEX,1,Size,"16"", S",1,0,Material,"Silk, Rubber",1,0,844
1311,simple,SKU72385,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,49,15,315.82,478.59,Office Supplies,"Professional, Vintage",https://picsum.photos/600/600,Casio,1,Color,"White, Black, Red, Pink",1,0,Material,"Wood, Silk, Cotton",1,1,486
1312,simple,SKU89588,Modern Rocking Chair,1,1,,High-quality modern rocking chair designed for optimal performance and durability.,1,53,7,1239.3,1915.81,Rocking Chair,"Premium, Luxury, Bluetooth",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,BrightLife,1,Size,"24"", S, M",1,0,Material,"Plastic, Cotton, Wood",1,1,880
1313,simple,SKU94187,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,33,5,1348.61,1562.64,Pet Supplies,"Vintage, Hi-Fi",https://images.unsplash.com/photo-1553456558-aff63285bdd1,Boutique,1,Material,"Rubber, Metal, Leather, Plastic, Cotton",1,0,,,,,815
1314,simple,SKU17589,Training Yoga Mat Pro,1,0,,High-quality training yoga mat pro designed for optimal performance and durability.,1,114,14,846.0,1032.94,Sports & Fitness,Hi-Fi,https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,SoundMax,1,Material,"Wood, Glass, Metal, Rubber",1,0,User Group,"Women, Adult",1,0,46
1315,simple,SKU19663,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,174,18,1243.61,1929.44,Accessories,"Stereo, Premium",https://images.pexels.com/photos/19090/pexels-photo.jpg,Nikon,1,Color,"Green, Brown, Yellow, Purple",1,0,,,,,23
1316,simple,SKU20944,Digital Speaker HD,1,0,,High-quality digital speaker hd designed for optimal performance and durability.,1,41,13,,513.9,Books,Hi-Fi,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Dell,1,Size,"XL, 16"", 26"", L, 24""",1,0,,,,,80
1317,simple,SKU84834,Wireless Smartwatch Pro,1,0,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,79,5,,1950.03,Toys & Games,"Bass, Hi-Fi",https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg,Remax,1,,,,,,,,,246
1318,simple,SKU89487,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,122,10,,286.58,Pet Supplies,,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Brothers,1,User Group,"Unisex, Kids, Men, Boys & Girls, Adult",1,0,,,,,108
1319,variable,,Classic Shirt Style,1,0,,High-quality classic shirt style designed for optimal performance and durability.,1,152,10,177.2,201.37,Clothing,"Hi-Fi, Wireless",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,Adidas,1,Size,"M, 12"", L",1,1,User Group,"Adult, Women",1,0,920
1320,simple,SKU87987,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,182,11,,497.22,Toys & Games,,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,BrightLife,1,,,,,,,,,681
1321,simple,SKU74415,Smart Tablet Plus,1,0,,High-quality smart tablet plus designed for optimal performance and durability.,1,27,19,931.71,1108.21,Accessories,Stereo,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,KeyTech,1,Size,"12"", 24"", L, XL, XXL",1,1,,,,,284
1322,simple,SKU94102,Premium Dress Collection,1,1,,High-quality premium dress collection designed for optimal performance and durability.,1,137,15,1363.37,1858.81,Clothing,,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,BrightLife,1,Size,"26"", L, XXL, XL",1,0,,,,,309
1323,variable,SKU56426,16-Speed Bike,1,0,,High-quality 16-speed bike designed for optimal performance and durability.,1,12,14,603.36,790.57,Bicycle,Bass,https://images.unsplash.com/photo-1572635196237-14b3f281503f,Dell,1,User Group,"Men, Adult, Unisex",1,1,Color,"Red, Brown",1,0,377
1324,simple,,Designer Hoodie,1,1,,High-quality designer hoodie designed for optimal performance and durability.,1,56,10,216.84,250.18,Clothing,Hi-Fi,https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg,SoundMax,1,,,,,,,,,705
1325,simple,SKU77404,Digital Camera HD,1,1,,High-quality digital camera hd designed for optimal performance and durability.,1,5,16,215.16,273.18,Books,Bluetooth,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Yamaha,1,Size,"26"", L, S, 24"", 16""",1,1,,,,,258
1326,simple,SKU52165,Smart Headphones Plus,1,1,,High-quality smart headphones plus designed for optimal performance and durability.,1,155,13,1326.51,1798.74,Toys & Games,7.1 D,https://images.unsplash.com/photo-1585386959984-a4155224a1ad,Wilson,1,,,,,,,,,896
1327,simple,SKU90804,Training Bike Pro,1,0,,High-quality training bike pro designed for optimal performance and durability.,1,151,10,,733.48,Sports & Fitness,"Bluetooth, Bass",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Wilson,1,Material,"Plastic, Cotton, Metal, Wood",1,1,,,,,186
1328,grouped,SKU68944,Modern Rug Collection,1,0,,High-quality modern rug collection designed for optimal performance and durability.,1,52,19,1644.78,1888.66,Home & Garden,"Eco-Friendly, 7.1 D, Wireless",https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Hatil,1,Color,"Brown, Blue, White, Gray, Pink",1,0,Size,"24"", 12""",1,1,746
1329,variable,SKU46469,Portable Headphones Max,1,0,,High-quality portable headphones max designed for optimal performance and durability.,1,54,12,52.97,65.2,Automotive,"Professional, 7.1 D",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Sony,1,User Group,"Adult, Men, Women, Kids",1,0,,,,,407
1330,simple,SKU91038,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,120,8,36.36,56.1,Health & Beauty,"Vintage, Bluetooth, 7.1 D",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,FlexiMat,1,,,,,,,,,457
1331,variable,SKU41239,Contemporary Vase,1,0,,High-quality contemporary vase designed for optimal performance and durability.,1,13,15,,852.83,Home & Garden,Vintage,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,Brothers,1,User Group,"Kids, Unisex, Boys & Girls, Women",1,1,,,,,202
1332,external,SKU24413,Portable Headphones Max,1,0,,High-quality portable headphones max designed for optimal performance and durability.,1,22,13,201.15,278.94,Automotive,"Bass, Luxury, Premium",https://images.unsplash.com/photo-1542291026-7eec264c27ff,SoundSphere,1,Size,"XXXL, 26"", L, 28"", 12""",1,0,,,,,769
1333,variable,SKU96950,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,92,19,748.67,985.67,Accessories,"Premium, Hi-Fi",https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,Adidas,1,,,,,,,,,128
1334,simple,SKU55292,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,11,17,,721.63,Sweater > Hoodie,"Bluetooth, Stereo, Eco-Friendly",https://picsum.photos/700/700,Apple,1,,,,,,,,,529
1335,grouped,SKU30457,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,173,15,1414.98,1952.69,Accessories,"Wireless, Vintage, USB",https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,KitchenAid,1,Capacity,"330 ml, 1.5L, 2L, 1L",1,0,,,,,831
1336,simple,SKU55708,Smart Headphones Plus,1,0,,High-quality smart headphones plus designed for optimal performance and durability.,1,139,15,,20.25,Sweater > Hoodie,"Wireless, Professional",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Sony,1,Capacity,"1.5L, 2L, 1L, 500ml, 330 ml",1,1,Material,"Glass, Rubber",1,1,923
1337,simple,SKU27897,Wireless Charger Pro,1,0,,High-quality wireless charger pro designed for optimal performance and durability.,1,63,12,1414.95,1622.4,Office Supplies,"USB, Eco-Friendly, Bass",https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,Nikon,1,Material,"Plastic, Silk, Rubber, Metal",1,1,Capacity,"1.5L, 330 ml, 500ml, 1L",1,1,517
1338,variable,SKU81913,12-Speed Bike,1,1,,High-quality 12-speed bike designed for optimal performance and durability.,1,162,17,1044.19,1310.79,Bicycle,Premium,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,SoundSphere,1,,,,,,,,,878
1339,external,SKU63192,Casual Pants,1,0,,High-quality casual pants designed for optimal performance and durability.,1,108,8,,1233.06,Clothing,"Premium, 7.1 D",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Philips,1,,,,,,,,,412
1340,simple,SKU86650,Noise Cancelling Headphones,1,0,,High-quality noise cancelling headphones designed for optimal performance and durability.,1,122,5,1081.7,1310.35,Headphone,Stereo,https://images.unsplash.com/photo-1585386959984-a4155224a1ad,SoundMax,1,Capacity,"500ml, 330 ml, 1L, 2L, 1.5L",1,1,,,,,333
1341,variable,SKU60887,Smart Smartwatch Plus,1,0,,High-quality smart smartwatch plus designed for optimal performance and durability.,1,43,15,1445.81,1776.69,Pet Supplies,Hi-Fi,https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,BambooTech,1,,,,,,,,,423
1342,simple,SKU70601,Premium Smartwatch System,1,0,,High-quality premium smartwatch system designed for optimal performance and durability.,1,112,14,1221.67,1443.59,Automotive,Modern,https://images.pexels.com/photos/19090/pexels-photo.jpg,BrightLife,1,Size,"16"", XL, XXXL, 26""",1,1,,,,,318
1343,simple,SKU61752,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,187,7,,161.58,Sweater > Hoodie,Professional,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,SoundMax,1,Size,"24"", XXXL, 28"", XL, 12""",1,0,Material,"Wood, Cotton, Plastic, Rubber",1,0,747
1344,variable,SKU97714,Wireless Charger Pro,1,0,,High-quality wireless charger pro designed for optimal performance and durability.,1,174,15,766.96,1006.41,Toys & Games,,https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,Wilson,1,User Group,"Kids, Women, Boys & Girls, Unisex, Adult",1,1,,,,,667
1345,simple,SKU73050,Digital Tablet HD,1,0,,High-quality digital tablet hd designed for optimal performance and durability.,1,13,8,965.14,1183.09,Sweater > Hoodie,"USB, Modern, Bass",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,Bose,1,Size,"L, 26"", 12"", XL, S",1,1,Material,"Plastic, Silk",1,1,963
1346,simple,SKU37610,Wireless Headphones Pro,1,1,,High-quality wireless headphones pro designed for optimal performance and durability.,1,131,6,1600.9,1850.63,Books,Eco-Friendly,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Spalding,1,Material,"Plastic, Metal",1,1,,,,,65
1347,simple,,Wireless Headphones,1,1,,High-quality wireless headphones designed for optimal performance and durability.,1,118,17,228.08,305.98,Headphone,USB,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Samsung,1,Color,"Blue, Red, Yellow, White, Pink",1,1,,,,,948
1348,simple,SKU14133,Digital Tablet HD,1,1,,High-quality digital tablet hd designed for optimal performance and durability.,1,128,6,441.11,567.95,Office Supplies,Eco-Friendly,https://images.unsplash.com/photo-1553456558-aff63285bdd1,Brothers,1,Size,"12"", 24""",1,1,Color,"Black, Brown, Purple",1,1,650
1349,simple,,Smart Tablet Plus,1,0,,High-quality smart tablet plus designed for optimal performance and durability.,1,119,14,728.27,866.7,Sweater > Hoodie,Eco-Friendly,https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Casio,1,Size,"16"", XXXL, S, 26"", 28""",1,1,,,,,565
1350,variable,SKU62474,Digital Charger HD,1,0,,High-quality digital charger hd designed for optimal performance and durability.,1,22,16,,1706.49,Automotive,USB,https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,Nike,1,Capacity,"500ml, 1L, 1.5L, 330 ml",1,0,Color,"Gray, Brown",1,1,132
1351,simple,SKU54136,Premium Pants Collection,1,0,,High-quality premium pants collection designed for optimal performance and durability.,1,57,20,978.1,1090.03,Clothing,Eco-Friendly,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,KeyTech,1,Material,"Glass, Wood, Plastic",1,1,,,,,723
1352,simple,SKU62082,Designer Dress,1,0,,High-quality designer dress designed for optimal performance and durability.,1,163,5,,304.02,Clothing,"Stereo, Premium, Luxury",https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,SoundMax,1,User Group,"Adult, Kids, Unisex, Men",1,0,Capacity,"500ml, 330 ml",1,1,775
1353,simple,SKU66779,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,143,13,948.87,1157.19,Rocking Chair,"Premium, USB",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,KeyTech,1,Capacity,"330 ml, 2L, 500ml, 1.5L, 1L",1,1,,,,,243
1354,simple,,Portable Headphones Max,1,0,,High-quality portable headphones max designed for optimal performance and durability.,1,149,15,549.41,636.31,Office Supplies,"Modern, Vintage",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Canon,1,Color,"White, Brown, Green, Red",1,0,Capacity,"500ml, 1.5L, 1L",1,0,962
1355,simple,SKU43956,Smart Charger Plus,1,1,,High-quality smart charger plus designed for optimal performance and durability.,1,82,5,,241.97,Electronics,Bass,https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,SoundMax,1,Material,"Wood, Ceramic",1,0,,,,,572
1356,variable,SKU29471,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,98,5,,213.55,Health & Beauty,"USB, Wireless, Premium",https://picsum.photos/600/600,Bose,1,User Group,"Men, Women, Kids, Boys & Girls",1,0,,,,,25
1357,variable,SKU50534,Premium Camera System,1,1,,High-quality premium camera system designed for optimal performance and durability.,1,30,5,65.04,73.34,Pet Supplies,"Stereo, USB, Wireless",https://images.unsplash.com/photo-1584917865442-de89df76afd3,GreenThumb,1,User Group,"Women, Adult, Unisex",1,1,Capacity,"500ml, 2L, 1L, 1.5L",1,0,814
1358,external,SKU35202,Wireless Speaker Pro,1,0,,High-quality wireless speaker pro designed for optimal performance and durability.,1,164,16,1205.76,1593.68,Accessories,"Vintage, 7.1 D",https://images.pexels.com/photos/4482900/pexels-photo-4482900.jpeg,Sony,1,Size,"L, XXL, 16""",1,0,,,,,868
1359,simple,SKU84871,Classic Pan,1,0,,High-quality classic pan designed for optimal performance and durability.,1,156,11,1062.69,1672.7,Kitchen,USB,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Dell,1,User Group,"Men, Adult",1,0,,,,,636
1360,simple,SKU42737,14-Speed Bike,1,0,,High-quality 14-speed bike designed for optimal performance and durability.,1,24,15,,664.67,Bicycle,"Professional, Wireless",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,KeyTech,1,,,,,,,,,299
1361,simple,SKU45749,Premium Tablet System,1,0,,High-quality premium tablet system designed for optimal performance and durability.,1,125,18,55.57,77.82,Pet Supplies,,https://images.unsplash.com/photo-1542291026-7eec264c27ff,Sony,1,Color,"Gray, White, Red, Pink",1,0,User Group,"Boys & Girls, Kids, Men",1,0,979
1362,simple,SKU56579,Professional Gloves Gear,1,0,,High-quality professional gloves gear designed for optimal performance and durability.,1,156,19,,1088.71,Sports & Fitness,"Wireless, Bass",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Remax,1,User Group,"Men, Kids, Adult, Women, Boys & Girls",1,1,Size,"16"", XXXL, XL",1,0,894
